반팔 티셔츠,4,1
긴팔 티셔츠,4,1
슬리브리스,4,1
피케 티셔츠,4,1
후드,4,2
후드집업,4,2
맨투맨,4,2
캐쥬얼 셔츠,4,3
체크 셔츠,4,3
패턴 셔츠,4,3
데님 셔츠,4,3
라운드넥 니트,4,4
브이넥 니트,4,4
터틀넥 니트,4,4
베스트,4,4
가디건,4,4
코트,4,5
점퍼,4,5
자켓,4,5
야상,4,5
롱패딩,4,5
가죽자켓,4,5
패딩 베스트,4,5
숏패딩,4,5
베스트,4,5
바람막이/트랙자켓,4,5
플리스,4,5
코튼팬츠,4,6
데님팬츠,4,6
슬랙스,4,6
숏/하프팬츠,4,6
트레이닝,4,6
티셔츠,4,7
팬츠,4,7
트레이닝,4,7
자켓/점퍼,4,7
조끼/베스트,4,7
수영복/래쉬가드,4,7
스노우 웨어,4,7
러닝,4,8
팬티,4,8
잠옷,4,8
내의,4,8
무스너클,4,9
노비스,4,9
바버,4,9
꼼데가르송,4,9
생로랑,4,9
몽클레어,4,9
마르셀로블론,4,9
스톤아일랜드,4,9
에르노,4,9
겐조,4,9
디스퀘어드,4,9
CP컴퍼니,4,9
아미,4,9
캐나다구스,4,9
티셔츠,5,10
후드/집업/맨투맨,5,10
셔츠/블라우스,5,10
니트/가디건,5,10
아우터,5,10
팬츠,5,10
스커트,5,10
원피스,5,10
스포츠,5,10
언더웨어,5,10
프리미엄 브랜드,5,10
후드,5,11
후드집업,5,11
맨투맨,5,11
카라 블라우스,5,12
노카라 블라우스,5,12
민소매 블라우스/셔츠,5,12
데님셔츠,5,12
화이트셔츠,5,12
컬러셔츠,5,12
체크셔츠,5,12
패턴셔츠,5,12
라운드넥 니트,5,13
브이넥 니트,5,13
롱/터틀넥 니트,5,13
베스트/ 뷔스티에,5,13
가디건,5,13
롱/루즈핏 가디건,5,13
코트,5,14
점퍼,5,14
자켓,5,14
야상,5,14
롱패딩,5,14
가죽자켓,5,14
패딩 베스트,5,14
숏패딩,5,14
베스트,5,14
바람막이/트랙자켓,5,14
플리스,5,14
데님 팬츠,5,15
숏/하프팬츠,5,15
코튼 팬츠,5,15
와이드 팬츠,5,15
슬랙스,5,15
점프수트/오버롤,5,15
기모팬츠,5,15
미니 스커트,5,16
미들/롱 스커트,5,16
니트 스커트,5,16
데님 스커트,5,16
롱/미디 원피스,5,17
미니 원피스,5,17
민소매 원피스,5,17
니트 원피스,5,17
티셔츠,5,18
팬츠,5,18
트레이닝,5,18
자켓/점퍼,5,18
조끼/베스트,5,18
요가복,5,18
수영복/래쉬가드,5,18
스노우 웨어,5,18
캐미솔/러닝톱,5,19
브라,5,19
팬티,5,19
잠옷,5,19
세트,5,19
내의,5,19
무스너클,5,20
노비스,5,20
바버,5,20
생로랑,5,20
버버리,5,20
프라다,5,20
몽클레어,5,20
꼼데가르송,5,20
토리버치,5,20
스킨/토너,6,21
로션/에멀젼,6,21
에센스/앰플/세럼,6,21
크림,6,21
아이케어/링클케어,6,21
화이트닝케어,6,21
트러블/진정/민감,6,21
피지/모공케어,6,21
필오프/워시오프,6,21
스킨케어세트,6,21
미스트/부스터,6,21
오일,6,21
썬케어,6,21
스페셜케어,6,21
시트마스크,6,21
슬리핑팩,6,21
수분케어,6,21
핌플패드/스킨패드,6,21
메이크업베이스,6,22
비비크림/씨씨크림,6,22
파운데이션,6,22
컨실러/스킨커버,6,22
쿠션/파우더/팩트,6,22
아이브로우,6,22
아이라이너,6,22
아이섀도우,6,22
마스카라,6,22
립스틱/립크레용,6,22
립글로스/립밤,6,22
립라커/틴트,6,22
메이크업세트,6,22
블러셔/치크,6,22
쉐딩/하이라이터,6,22
클렌징폼,6,23
립앤아이리무버,6,23
클렌징오일/클렌징,6,23
클렌징크림/로션,6,23
스크럽/필링/마사,6,23
미용비누/천연비누,6,23
클렌징세트,6,23
클렌징도구,6,23
바디워시,6,24
바디로션/오일/파우더,6,24
바디스크럽/바디필링,6,24
바디미스트/샤워코롱,6,24
바디세트,6,24
입욕제,6,24
풋/핸드케어,6,24
데오드란트,6,24
제모용품,6,24
바디패치/바디스페셜케어,6,24
여성청결제,6,24
립케어/립밤/립오일,6,24
구강케어,6,24
샴푸/린스,6,25
염색/헤어컬러링,6,25
트리트먼트/팩,6,25
헤어오일/에센스,6,25
헤어스타일링,6,25
헤어세트,6,25
헤어소품,6,25
헤어가발,6,25
남성세트,6,26
스킨/애프터쉐이브,6,26
로션/에센스/미스,6,26
올인원,6,26
선크림/비비크림,6,26
클렌징,6,26
기능성케어/마스크,6,26
왁스/스프레이/염,6,26
헤어소품,6,26
남성메이크업,6,26
남성뷰티소품,6,26
여성향수,6,27
남성향수,6,27
섬유향수,6,27
디퓨저/방향제,6,27
캔들,6,27
퍼퓸샤셰,6,27
디퓨저/방향제,6,27
캔들,6,27
브러시/브러시소품,6,28
퍼프,6,28
거울,6,28
헤어소품,6,28
생활미용소품,6,28
메이크업 소품,6,28
바디소품,6,28
속눈썹,6,28
화장솜,6,28
메이크업 파우치,6,28
뷰러,6,28
네일아트/네일소품,6,28
기타,6,28
드라이기,6,29
고데기 / 매직기,6,29
피부관리기기,6,29
제모기,6,29
클렌징 기기,6,29
바디케어 기기,6,29
네일케어 기기,6,29
기초,6,30
색조,6,30
헤어/바디,6,30
향수/캔들/디퓨저,6,30
에코백,7,31
토트백,7,31
숄더백,7,31
크로스백/메신저백,7,31
백팩,7,31
힙색,7,31
클러치백,7,31
노트북 가방,7,31
보스턴백/여행가방,7,31
여성가방,7,31
레더백,7,31
가방 스트랩,7,31
반지갑,7,32
장지갑,7,32
카드지갑,7,32
파우치,7,32
머니클립,7,32
동전지갑,7,32
여권지갑,7,32
중지갑,7,32
지갑 악세사리,7,32
시계 스트랩/기타,7,33
디지털시계,7,33
아날로그시계,7,33
야구모자/캡,7,34
베레모,7,34
비니,7,34
사파리/벙거지,7,34
페도라,7,34
안경,7,35
선글라스,7,35
안경 악세사리,7,35
장갑/핸드워머,7,36
머플러,7,36
스카프,7,36
귀도리,7,36
귀걸이,7,37
목걸이,7,37
반지,7,37
팔찌/발찌,7,37
기타,7,37
피어싱,7,37
귀찌,7,37
쥬얼리세트,7,37
커플링,7,37
벨트,7,38
키링,7,38
헤어 악세사리,7,38
기타,7,38
뱃지,7,38
우산/양산,7,38
마스크,7,38
헤어밴드/아대,7,38
페이크삭스,7,39
니삭스/레그워머,7,39
발목 양말,7,39
양말,7,39
세트 양말,7,39
스타킹,7,39
수면양말,7,39
구찌,7,40
프라다,7,40
지방시,7,40
몽블랑,7,40
비비안웨스트우드,7,40
티파니앤코,7,40
페라가모,7,40
생로랑,7,40
발렌티노,7,40
버버리,7,40
발렌시아가,7,40
마이클코어스,7,40
마크제이콥스,7,40
마르지엘라,7,40
토리버치,7,40
끌로에,7,40
셀린느,7,40
보테가베네타,7,40
멀버리,7,40
아크네,7,40
코치,7,40
마르니,7,40
나이키,8,41
아디다스,8,41
슬립온,8,41
하이탑,8,41
로우탑,8,41
캔버스,8,41
운동화,8,41
농구화,8,41
테니스화,8,41
스케이트보드화,8,41
런닝화,8,41
벨크로,8,41
어글리슈즈,8,41
플랫,8,42
로퍼,8,42
옥스포드,8,42
힐,8,42
웨지힐,8,42
슬링백,8,42
블로퍼,8,42
플립플랍,8,43
힐 샌들,8,43
슬리퍼,8,43
플랫샌들,8,43
버켄스탁,8,43
츄바스코,8,43
닥터마틴,8,43
크록스,8,43
롱부츠(플랫),8,44
롱부츠(힐),8,44
앵클.부티,8,44
워커,8,44
레인부츠,8,44
퍼부츠,8,44
패딩부츠,8,44
캐주얼 부츠,8,44
슈케어 & 액세서리,8,45
로퍼,8,46
레이스업,8,46
부츠,8,46
스트랩,8,46
골든구스,8,47
꼼데가르송,8,47
어그,8,47
페라가모,8,47
생로랑,8,47
발렌티노,8,47
프라다,8,47
알렌산더 맥퀸,8,47
토리버치,8,47
조명/스탠드,9,48
월데코/액자,9,48
시계,9,48
캔들,9,48
장식소품,9,48
드레스룸/행거,9,49
수납장/선반,9,49
책상/테이블,9,49
의자/소파,9,49
정리용품,9,50
욕실용품,9,50
기타 생활잡화,9,50
담요/블랭킷,9,51
쿠션/방석,9,51
카페트/러그,9,51
커튼/블라인드,9,51
패브릭 소품,9,51
텀블러/보틀,9,52
머그/컵,9,52
커피/와인/차 용품,9,52
식기/커트러리,9,52
조리도구,9,52
에이프런/장갑,9,52
기타소품,9,52
파티/이벤트,9,53
트래블,9,53
다이어리/플래너/캘린더,9,54
노트/메모지,9,54
데코레이션,9,54
엽서/카드/편지지,9,54
파일링/바인더,9,54
앨범/스크랩북,9,54
필기구/펜케이스,9,54
데스크용품,9,54
취미/DIY,9,54
기타,9,54
보호필름,10,55
충전기/케이블,10,55
보조배터리,10,55
스마트 링/스마트 톡,10,55
거치대/기타용품,10,55
아이폰 케이스,10,55
안드로이드 케이스,10,55
휴대/탁상형 선풍기,10,56
스탠드/벽걸이/타워형 선풍기,10,56
공기순환기(써큘레이터),10,56
가습기,10,56
히터/온풍기,10,56
휴대용 난방기기,10,56
진공/핸디청소기,10,57
공기청정기,10,57
다리미,10,57
보풀제거기,10,57
안마/찜질기,10,58
안마용품,10,58
전동칫솔/살균기,10,58
음향 액세서리,10,59
이어폰,10,59
헤드폰,10,59
스피커,10,59
무선마이크,10,59
카메라,10,60
마우스,10,61
키보드,10,61
PC 주변용품,10,61
모니터 / 노트북 받침대,10,61
USB 악세사리/케이블,10,61
식사대용/간식,11,62
다이어트 보조식품,11,62
다이어트 쉐이크,11,62
스트레칭/마사지/교정,11,63
유산소,11,63
근력,11,63
보호대,11,63
영양제,11,64
비타민/미네랄,11,64
건강차 원물,11,64
건강분말 / 건강환,11,64
영양식/선식,11,64
헬스보충식품,11,64
홍삼/인삼,11,64
건강즙,11,64
과자/캔디,11,65
커피/원두/차,11,65
견과/건과,11,65
생수/음료,11,65
제품/두유/우유,11,65
냉장/냉동/간편요리,11,65
가루/조미료/오일,11,65
치약/가글,11,66
생리대,11,67
